id,Grouper,List_B,Meaning,created_at,updated_at
,H SPEED,A,Full power,NULL,NULL
,H SPEED,B,Half power,NULL,NULL
,H SPEED,C,Quarter power,NULL,NULL
,H SPEED,D,Passive (towed),NULL,NULL
,P SPEED,A,Active (hull mounted),,
,P SPEED,B,Active (towed),,
,P SPEED,C,Passive (hull mounted),,
,P SPEED,D,Passive (towed),,
,1N,A,Voice,,
,1N,B,CW,,
,1N,C,AfT,,
,AK64,A,Explosive Signal,,
,AK64,B,Hoist black ball,,
,AK64,C,Sonar message,,
,AP13,A,biological agent,,
,AP13,B,blister agent,,
,AP13,C,nerve agent,,
,AP13,D,radioactive agent,,
,AP13,E,unidentified agent,,
,KS8,A,Hawser,,
,KS8,B,Rope,,
,KS8,C,Wire,,
,KS8,D,Net,,
,KS8,E,Log,,
,KS8,F,Fishing stakes,,
,MU8,A,Ahead of this or unit indicated,,
,MU8,B,Astern of this or unit indicated,,
,MU8,C,In position___,,
,MU8,D,On bearing___,,
,MU12,A,Departure,,
,MU12,B,Destination,,
,MU12,C,Estimated now (or at __),,
,MU12,D,When last determined (or at ___),,
,MU34,A,Air,,
,MU34,B,Surface,,
,MU34,C,Sub-surface,,
,MU34,D,Nuclear,,
,MU34,E,Biological,,
,MU34,F,Chemical,,
,NB18,A,Low level aircraft spray,,
,NB18,B,Guided missile,,
,NB18,C,Airburst bomb,,
,NB18,D,Chemically filled shell,,
,NB18,A,Heavily,,
,NB18,B,Moderately,,
,NB18,C,Lightly,,
,PE31,A,Frequency band from Table,,
,PE31,B,Frequency in KHz,,
,PE31,C,Frequency in MH,,
,PE31,D,Spot no___,,
,PL1,A,Aft,,
,PL1,B,Amidships,,
,PL1,C,Boat,,
,PL1,D,Forward,,
,PL1,E,Heaving line,,
,PL1,F,High line or jackstay,,
,PL1,G,Alongside,,
,PL4,A,Tons,,
,PL4,B,Litres,,
,PL4,C,Cubic meters,,
,PL4,D,US gallons,,
,PL4,E,Imperial gallons,,
,PL4,F,US barrels,,
,PL5,A,Tons,,
,PL5,B,Litres,,
,PL5,C,Cubic meters,,
,PL5,D,US gallons,,
,PL5,E,Imperial gallons,,
,PL5,F,US barrels (RMN,,
,PL8,A,Astern,,
,PL8,B,Burton,,
,PL8,C,Close in,,
,PL8,D,Double Burton,,
,PL8,E,Probe receiver,,
,PL8,F,Housefall,,
,PL8,G,Lightline,,
,PL8,H,Manilla highline,,
,PL8,I,Modified housefall,,
,PL8,J,Astern by towing,,
,PL11,A,Line,,
,PL11,B,Towing hawser/cable,,
,PR7,A,Shipping,,
,PR7,B,Aircraft,,
,PR7,C,Helicopter,,
,PR7,D,Fishing Vessel,,
,PT28,A,ASW patrol,,
,PT28,B,Attack,,
,PT28,C,Cap,,
,PT28,D,Direct air support,,
,PT28,E,Exercise,,
,PT28,F,Helicopter,,
,PT28,G,Marker,,
,PT28,H,Radar calibration,,
,PT28,I,Relief,,
,PT28,J,Rescue,,
,PT28,K,Search,,
,PT28,L,Shadower,,
,PT28,M,Spotting,,
,PT28,N,Strike,,
,PT28,O,Tracking,,
,PT28,P,Weapon carrying helicopter,,
,7E,A,Fighter launched weapon,,
,7E,B,Long range surface-to-air-missiles,,
,7E,C,Medium range surface-to-air missiles,,
,7E,D,Close range surface-to-air missiles and or guns,,
,7E,E,Point defence weapons,,
,7E,F,Jammers,,
,SE19,A,Above average,,
,SE19,B,Average,,
,SE19,C,Below average,,
,SE19,D,Very poor,,
,SE19,E,Super-refraction conditions exist,,
,SE19,F,Sporadic refraction conditions exist,,
,TD4,A,Turned out,,
,TD4,B,Lowered to the waterline,,
,TD4,C,Slipped,,
,TD5,A,Admiral,,
,TD5,B,Commanding Officer,,
,TD5,C,Commodore/Senior Officer,,
,TD5,D,Liberty party,,
,TD5,E,Mail,,
,TD5,F,Mail (Classified),,
,TD5,G,Mail (Registered),,
,TD5,H,Mail (Officer Courier),,
,TD5,I,Material Requested,,
,TD5,J,Men,,
,TD5,K,Movies,,
,TD5,L,Officers,,
,TD5,M,stores,,
,TD5,N,Rescue,,
,TD12,A,Daily,,
,TD12,B,Sunday/holiday,,
,TD12,C,Dress ship,,
,TD12,D,Steaming,,
,TD12,E,Storm,,
,TD12,F,Size__,,
,TD17,A,Critical,,
,TD17,B,Serious,,
,TD17,C,Stretcher,,
,TD17,D,Ambulatory,,
,TD17,E,Neuropsychiatry,,
,TD29,A,No.1 Full Ceremonial (Optional Sword),,
,TD29,B,Spare,,
,TD29,C,Bush jacket,,
,TD29,D,Bush Jacket (Civilian),,
,TD29,E,Day Dress (RMN: White),,
,TD29,F,Day Working Dress (RMN: Blue),,
,TD29,G,Action Rig,,
,TD29,H,Mess Dress,,
,TD29,I,Red Sea Rig/Night Dress,,
,TD29,J,Dinner Jacket,,
,TD29,K,Lounge Suite,,
,TD29,L,National Dress,,
,TD29,M,Bush Jacket (Civilian),,
,TD29,N,Planters Rig,,
,TD29,O,Mosque Dress,,
,TD29,P,Batik,,
,TD29,Q,Sport Rig,,
,TD29,R,Long sleeve shir,,
,TD29,S,Short sleeve shirt,,
,TD29,T,Shorts,,
,TD29,U,Swimming,,
,TK36,A,During night air operations,,
,TK36,B,To indicate position,,
