id,Rake_Code,Meaning,created_at,updated_at
,AM,HIT,,
,S,More than 1000 yards short of target,,
,O,More than 1000 yards beyond target,,
,A,Over 50 yards,,
,B,Over 100 yards,,
,C,Over 150 yards,,
,D,Over 200 yards,,
,E,Over 300 yards,,
,F,Over 400 yards,,
,G,Over 500 yards,,
,H,Over 600 yards,,
,I,Over 700 yards,,
,J,Over 800 yards,,
,K,Over 900 yards,,
,L,Over 1000 yards,,
,M,Short 50 yards,,
,N,Short 100 yards,,
,P,Short 150 yards,,
,Q,Short 200 yards,,
,R,Short 300 yards,,
,S,Short 400 yards,,
,T,Short 500 yards,,
,U,Short 600 yards,,
,V,Short 700 yards,,
,W,Short 800 yards,,
,Y,Short 900 yards,,
,Z,Short 1000 yards,,
